,author,author_id,average_rating,book_id,ratings_count,title,title_query,title_match,gender,num_pages
565,Brian Herbert,56.0,3.88,26031829.0,1427.0,NAVIGATORS OF DUNE,NAVIGATORS OF DUNE,True,male,
566,Debbie Macomber,11349.0,3.93,13414594.0,18585.0,THE INN AT ROSE HARBOR,THE INN AT ROSE HARBOR,True,female,330
567,Chelsea Cain,48557.0,4.03,6193923.0,13359.0,EVIL AT HEART,EVIL AT HEART,True,,
568,Mary Higgins Clark,99044.0,3.97,25111011.0,10144.0,ALL DRESSED IN WHITE,ALL DRESSED IN WHITE,True,female,288
569,Diane Chamberlain,93345.0,4.04,2589061.0,11309.0,BEFORE THE STORM,BEFORE THE STORM,True,,
570,Vince Flynn,14989.0,4.32,3313418.0,43172.0,EXTREME MEASURES,EXTREME MEASURES,True,male,448
571,Jeannette Walls,3275.0,4.06,6366437.0,130338.0,HALF BROKE HORSES,HALF BROKE HORSES,True,female,272
572,Maggie Barbieri,202369.0,3.68,352913.0,1681.0,MURDER 101,MURDER 101,True,female,288
573,Jack Mars,14773561.0,4.29,29090814.0,2584.0,OATH OF OFFICE,OATH OF OFFICE,True,,
574,Anne Hillerman,612732.0,3.98,30653896.0,4215.0,SONG OF THE LION,SONG OF THE LION,True,,
575,Paul Cleave,776612.0,3.6,23492648.0,4632.0,TRUST NO ONE,TRUST NO ONE,True,None,342
576,Elmore Leonard,12940.0,3.52,5640796.0,3583.0,ROAD DOGS,ROAD DOGS,True,male,262
577,Clive Cussler,18411.0,4.2,23281922.0,5326.0,PIRANHA,PIRANHA,True,male,421
578,Kevin Kwan,634694.0,3.95,29864343.0,60052.0,RICH PEOPLE PROBLEMS,RICH PEOPLE PROBLEMS,True,male,398
579,Jojo Moyes,281810.0,4.26,17347634.0,909551.0,IF NOT FOR YOU,IF NOT FOR YOU,True,female,369
580,Harlan Coben,24689.0,3.81,15811568.0,57324.0,SIX YEARS,SIX YEARS,True,None,351
581,Chris Bohjalian,3509.0,3.66,16099189.0,24577.0,THE LIGHT IN THE RUINS,THE LIGHT IN THE RUINS,True,male,
582,Curtis Sittenfeld,6429.0,3.61,25852870.0,63405.0,ELIGIBLE,ELIGIBLE,True,male,492
583,Liane Moriarty,322069.0,3.56,26247008.0,185967.0,TRULY MADLY GUILTY,TRULY MADLY GUILTY,True,None,
584,J.R.R. Tolkien,656983.0,3.98,41015249.0,4693.0,BEREN AND LÚTHIEN,BEREN AND LÚTHIEN,True,male,
585,Joanne Fluke,18819.0,3.75,6957009.0,8381.0,APPLE TURNOVER MURDER,APPLE TURNOVER MURDER,True,female,
586,Rebecca Wells,3489.0,3.68,5148758.0,9368.0,THE CROWNING GLORY OF CALLA LILY PONDER,THE CROWNING GLORY OF CALLA LILY PONDER,True,female,395
587,Charlotte Rogan,5094344.0,3.2,12888599.0,22182.0,THE LIFEBOAT,THE LIFEBOAT,True,female,279
588,Kim Harrison,17054.0,4.43,17285883.0,23875.0,THE UNDEAD POOL,THE UNDEAD POOL,True,female,
589,Terry Goodkind,3441.0,3.67,8598554.0,17505.0,THE OMEN MACHINE,THE OMEN MACHINE,True,male,528
590,Jennifer Lynn Barnes,164187.0,4.17,22929578.0,8303.0,THE FIXER,THE FIXER,True,None,372
591,Karen Kingsbury,3159984.0,4.2,20821619.0,10637.0,ANGELS WALKING,ANGELS WALKING,True,,
592,Sharon Kay Penman,24655.0,4.37,2859559.0,6327.0,DEVIL'S BROOD,DEVIL'S BROOD,True,female,736
593,Cassandra Clare,150038.0,4.11,256683.0,1410147.0,THE CITY,THE CITY,True,female,485
594,Margaret Atwood,3472.0,4.02,72579.0,88269.0,GRACE,GRACE,True,female,468
595,Elmore Leonard,12940.0,3.66,12037108.0,8444.0,RAYLAN,RAYLAN,True,male,263
596,Eric Jerome Dickey,12936.0,4.38,1686165.0,2265.0,RESURRECTING MIDNIGHT,RESURRECTING MIDNIGHT,True,male,None
597,Jason  Matthews,6903512.0,4.22,22609257.0,14087.0,PALACE OF TREASON,PALACE OF TREASON,True,male,
598,Mark Frost,34765.0,3.94,29102955.0,7547.0,THE SECRET HISTORY OF TWIN PEAKS,THE SECRET HISTORY OF TWIN PEAKS,True,male,362
599,Jeff Lindsay,10482.0,3.79,7469133.0,16505.0,DEXTER IS DELICIOUS,DEXTER IS DELICIOUS,True,None,350
600,Bill Clinton,5944.0,3.87,35097255.0,52697.0,THE PRESIDENT IS MISSING,THE PRESIDENT IS MISSING,True,,
601,Kate Morton,615274.0,3.87,6746018.0,59299.0,THE DISTANT HOURS,THE DISTANT HOURS,True,None,562
602,Stuart Woods,3936.0,3.66,23398895.0,3733.0,NAKED GREED,NAKED GREED,True,male,
603,Alex Berenson,195905.0,4.11,11890812.0,5659.0,THE SHADOW PATROL,THE SHADOW PATROL,True,None,400
604,Patricia Cornwell,1025097.0,3.74,2833172.0,26164.0,SCARPETTA,SCARPETTA,True,female,500
605,Lauren Willig,14469.0,3.77,3701590.0,6510.0,THE TEMPTATION OF THE NIGHT JASMINE,THE TEMPTATION OF THE NIGHT JASMINE,True,,
606,James Patterson,3780.0,3.45,13353667.0,35490.0,ZOO,ZOO,True,male,395
607,A.S. Byatt,1169504.0,3.88,41219.0,64901.0,POSSESSION,POSSESSION,True,,
608,Richard Paul Evans,46097.0,4.3,18144105.0,7064.0,WALKING ON WATER,WALKING ON WATER,True,male,320
609,Gregory Maguire,7025.0,2.79,24331115.0,9053.0,AFTER ALICE,AFTER ALICE,True,male,273
610,Geraldine Brooks,211268.0,3.82,9684523.0,55437.0,THE CROSSING,THE CROSSING,True,female,306
611,Harlan Coben,24689.0,3.88,11737271.0,35733.0,STAY CLOSE,STAY CLOSE,True,None,387
612,Lorrie Moore,11746.0,3.57,18050057.0,7132.0,BARK,BARK,True,female,192
613,Yann Martel,811.0,3.38,25489094.0,13440.0,THE HIGH MOUNTAINS OF PORTUGAL,THE HIGH MOUNTAINS OF PORTUGAL,True,,
614,Richard Castle,1953433.0,3.76,7776678.0,20717.0,NAKED HEAT,NAKED HEAT,True,male,288
615,James Patterson,3780.0,4.0,25787901.0,12952.0,NYPD RED 4,NYPD RED 4,True,male,
616,Clive Cussler,18411.0,3.78,361081.0,17998.0,VORTEX,VORTEX,True,male,
617,John Green,1406384.0,4.24,11870085.0,2958667.0,GREEN,GREEN,True,,
618,Suzanne Collins,153394.0,4.29,6148028.0,2164545.0,INTO THE FIRE,INTO THE FIRE,True,female,391
619,Anne Rivers Siddons,6946.0,2.87,7290812.0,4683.0,BURNT MOUNTAIN,BURNT MOUNTAIN,True,female,325
620,Colson Whitehead,10029.0,3.26,10365343.0,15692.0,ZONE ONE,ZONE ONE,True,male,259
621,John Hart,47072.0,4.08,26883206.0,14466.0,REDEMPTION ROAD,REDEMPTION ROAD,True,male,417
622,Julie Buxbaum,843820.0,4.09,25893582.0,33172.0,TELL ME,TELL ME,True,,
623,Mary Higgins Clark,99044.0,3.92,29984659.0,7773.0,THE SLEEPING BEAUTY KILLER,THE SLEEPING BEAUTY KILLER,True,female,
624,J.K. Rowling,1077326.0,3.29,13497818.0,278146.0,THE CASUAL VACANCY,THE CASUAL VACANCY,True,,
625,Linda Fairstein,48895.0,3.84,4597394.0,3989.0,LETHAL LEGACY,LETHAL LEGACY,True,None,
626,Lara Adrian,375626.0,4.23,13170607.0,11184.0,EDGE OF DAWN,EDGE OF DAWN,True,female,313
627,Alex Berenson,195905.0,4.04,6999817.0,8318.0,THE MIDNIGHT HOUSE,THE MIDNIGHT HOUSE,True,None,
628,Marie Force,1508588.0,4.13,8162828.0,11066.0,FATAL,FATAL,True,,
629,Riley Sager,15263414.0,4.09,36626748.0,24647.0,THE LAST TIME I LIED,THE LAST TIME I LIED,True,None,None
630,Kate Atkinson,10015.0,3.75,15790842.0,177364.0,LIFE AFTER LIFE,LIFE AFTER LIFE,True,,
631,Kristen Britain,85545.0,4.17,8396337.0,9916.0,BLACKVEIL,BLACKVEIL,True,,
632,James Patterson,3780.0,3.84,7134202.0,42309.0,PRIVATE:,PRIVATE:,True,male,385
633,Jane Green,12915.0,3.71,12029468.0,14965.0,ANOTHER PIECE OF MY HEART,ANOTHER PIECE OF MY HEART,True,female,
634,Tami Hoag,9890.0,4.04,10778948.0,12736.0,DOWN THE DARKEST ROAD,DOWN THE DARKEST ROAD,True,female,432
635,Robert Galbraith,383606.0,3.85,16160797.0,410388.0,THE CUCKOO'S CALLING,THE CUCKOO'S CALLING,True,female,455
636,James Rollins,38809.0,4.16,5171894.0,23773.0,THE DOOMSDAY KEY,THE DOOMSDAY KEY,True,male,448
637,Nalini Singh,71688.0,4.11,12059093.0,16971.0,TANGLE OF NEED,TANGLE OF NEED,True,female,422
638,Orson Scott Card,589.0,4.3,375802.0,987527.0,THE END GAME,THE END GAME,True,male,324
639,Stephen King,3389.0,3.9,34430839.0,31089.0,GWENDY'S BUTTON BOX,GWENDY'S BUTTON BOX,True,male,171
640,Sandra Brown,6218.0,3.97,7262166.0,12714.0,TOUGH CUSTOMER,TOUGH CUSTOMER,True,female,391
641,Elin Hilderbrand,88301.0,3.84,28962891.0,15874.0,WINTER STORMS,WINTER STORMS,True,None,246
642,Luanne Rice,5076.0,3.78,3733297.0,4880.0,THE GEOMETRY OF SISTERS,THE GEOMETRY OF SISTERS,True,female,319
643,G. Willow Wilson,815259.0,3.84,13239822.0,14328.0,UNSEEN,UNSEEN,True,,
644,David Baldacci,9291.0,4.19,3410425.0,43810.0,DIVINE JUSTICE,DIVINE JUSTICE,True,male,
645,Stuart Woods,3936.0,3.84,17707617.0,4588.0,DOING HARD TIME,DOING HARD TIME,True,male,320
646,Robert Kirkman,12425.0,3.86,18465522.0,3550.0,"THE FALL OF THE GOVERNOR, PART 2","THE FALL OF THE GOVERNOR, PART 2",True,,
647,Celeste Ng,164692.0,4.13,34273236.0,304091.0,LITTLE FIRES EVERYWHERE,LITTLE FIRES EVERYWHERE,True,female,
648,James Patterson,3780.0,4.07,30079418.0,23415.0,16TH SEDUCTION,16TH SEDUCTION,True,male,355
649,Lisa Scottoline,20258.0,3.73,21853628.0,24377.0,EVERY FIFTEEN MINUTES,EVERY FIFTEEN MINUTES,True,female,435
650,Bernard Cornwell,12542.0,4.07,15739863.0,9683.0,1356,1356,True,None,
651,Ethan Canin,50743.0,3.69,22318513.0,3782.0,A DOUBTER'S ALMANAC,A DOUBTER'S ALMANAC,True,,
652,Suzanne Halliday,8047413.0,4.59,34402774.0,271.0,THE BISHOP'S PAWN,THE BISHOP'S PAWN,True,,
653,Kathy Reichs,26372.0,3.87,13030356.0,16442.0,BONES ARE FOREVER,BONES ARE FOREVER,True,female,283
654,Mary Higgins Clark,99044.0,3.73,28688182.0,8548.0,AS TIME GOES BY,AS TIME GOES BY,True,female,
655,Fredrik Backman,6485178.0,4.37,36373463.0,34612.0,US AGAINST YOU,US AGAINST YOU,True,None,448
656,Chuck Wendig,17152.0,3.79,30213123.0,7138.0,AFTERMATH:: EMPIRE'S END,AFTERMATH:: EMPIRE'S END,True,male,423
657,Seth Grahame-Smith,169377.0,3.7,7108001.0,123564.0,THE HUNTER,THE HUNTER,True,male,336
658,Paul Jenkins,12803.0,3.89,1121387.0,679.0,THE SENTRY,THE SENTRY,True,male,240
659,Nelson DeMille,1238.0,3.74,3216451.0,15109.0,THE GATE HOUSE,THE GATE HOUSE,True,male,677
660,J.A. Jance,3453636.0,4.17,27776494.0,4799.0,DOWNFALL,DOWNFALL,True,female,496
661,Maeve Binchy,3532.0,3.8,7979073.0,20822.0,MINDING FRANKIE,MINDING FRANKIE,True,female,425
662,Debbie Macomber,11349.0,3.73,6422470.0,6881.0,THE PERFECT CHRISTMAS,THE PERFECT CHRISTMAS,True,female,232
663,Janet Evanovich,2384.0,3.94,7023554.0,67972.0,SIZZLING SIXTEEN,SIZZLING SIXTEEN,True,female,371
664,Nicholas Sparks,2345.0,4.11,3063499.0,305693.0,THE LUCKY ONE,THE LUCKY ONE,True,male,326
665,Mark Greaney,2961590.0,4.41,30189669.0,5324.0,GUNMETAL GRAY,GUNMETAL GRAY,True,male,
666,Sara Paretsky,28509.0,3.89,7907687.0,5732.0,BODY WORK,BODY WORK,True,female,
667,William Shakespeare,947.0,3.89,8852.0,588414.0,MACBETH,MACBETH,True,male,349
668,Jeffery Deaver,1612.0,3.61,10483475.0,8679.0,CARTE BLANCHE,CARTE BLANCHE,True,male,404
669,Neal Stephenson,545.0,3.87,32075825.0,17327.0,THE RISE AND FALL OF DOD O,THE RISE AND FALL OF DOD O,True,male,752
670,Haruki Murakami,3354.0,3.91,10357575.0,165632.0,1Q84,1Q84,True,male,
671,Paula Hawkins,1063732.0,3.9,22557272.0,1647980.0,THE GIRL ON THE TRAIN,THE GIRL ON THE TRAIN,True,,
672,Terry Brooks,9629.0,4.03,15743703.0,5158.0,BLOODFIRE QUEST,BLOODFIRE QUEST,True,male,368
673,S.M. Stirling,14002.0,3.95,6301385.0,4219.0,THE SWORD OF THE LADY,THE SWORD OF THE LADY,True,male,496
674,Karen  Lynch,7734428.0,4.3,20427449.0,17880.0,RELENTLESS,RELENTLESS,True,female,288
675,Mitch Albom,2331.0,3.85,13624688.0,89037.0,THE TIME KEEPER,THE TIME KEEPER,True,None,
676,Chuck Palahniuk,2546.0,3.46,22822857.0,5093.0,MAKE SOMETHING UP,MAKE SOMETHING UP,True,male,318
677,Melanie Benjamin,2958717.0,3.89,13642950.0,61081.0,THE AVIATOR'S WIFE,THE AVIATOR'S WIFE,True,female,416
678,Karen Marie Moning,48206.0,4.38,12446825.0,14703.0,FEVERSONG,FEVERSONG,True,female,
679,Mike Maden (author),18178526.0,3.91,40730651.0,44.0,TOM CLANCY: POINT OF CONTACT,TOM CLANCY: POINT OF CONTACT,True,None,None
680,Donna Leon,16290.0,3.91,35576032.0,3646.0,THE TEMPTATION OF FORGIVENESS,THE TEMPTATION OF FORGIVENESS,True,female,272
681,Lauren Graham,1906497.0,3.5,16071745.0,42499.0,"SOMEDAY, SOMEDAY, MAYBE","SOMEDAY, SOMEDAY, MAYBE",True,female,340
682,Nora Roberts,625.0,4.2,12716613.0,57158.0,THE WITNESS,THE WITNESS,True,female,757
683,Iris Johansen,32498.0,4.02,15766976.0,7032.0,TAKING EVE,TAKING EVE,True,None,339
684,André Brink,1409320.0,3.8,154217.0,387.0,THE OTHER SIDE OF SILENCE,THE OTHER SIDE OF SILENCE,True,,
685,Tatiana de Rosnay,305400.0,3.34,7963208.0,23247.0,A SECRET KEPT,A SECRET KEPT,True,female,303
686,Ariesa Jane Domingo,8297828.0,4.36,18802914.0,2483.0,KISSER,KISSER,True,,
687,Dave Eggers,3371.0,3.44,29889972.0,10087.0,HEROES OF THE FRONTIER,HEROES OF THE FRONTIER,True,male,
688,Amy Tan,5246.0,3.62,17383934.0,36031.0,THE VALLEY OF AMAZEMENT,THE VALLEY OF AMAZEMENT,True,female,589
689,Lisa See,713.0,3.89,5960325.0,125605.0,SHANGHAI GIRLS,SHANGHAI GIRLS,True,female,
690,Sarah Mayberry,19909.0,3.69,2724348.0,536.0,BELOW THE BELT,BELOW THE BELT,True,,
691,Bernard Cornwell,12542.0,4.43,28949218.0,10010.0,THE FLAME BEARER,THE FLAME BEARER,True,None,304
692,Mary Kay Andrews,21387.0,3.93,13167062.0,17265.0,SPRING FEVER,SPRING FEVER,True,None,402
693,Sophie Kinsella,6160.0,3.28,21064599.0,22074.0,SHOPAHOLIC TO THE STARS,SHOPAHOLIC TO THE STARS,True,None,479
694,Don Winslow,37795.0,4.11,32075859.0,12717.0,THE FORCE,THE FORCE,True,,
695,Ruth Ware,9013543.0,3.68,28187230.0,242991.0,THE WOMAN IN CABIN 10,THE WOMAN IN CABIN 10,True,None,340
696,James Patterson,3780.0,3.76,2029177.0,62137.0,SUNDAYS AT TIFFANY'S,SUNDAYS AT TIFFANY'S,True,male,309
697,Patrick Ness,370361.0,3.97,20758104.0,131045.0,CHAOS,CHAOS,True,male,512
698,Peter Høeg,369288.0,3.67,429631.0,2978.0,BORDERLINE,BORDERLINE,True,male,288
699,Mark Greaney,2961590.0,4.13,21863539.0,6745.0,TOM CLANCY: SUPPORT AND DEFEND,TOM CLANCY: SUPPORT AND DEFEND,True,male,
700,James Patterson,3780.0,3.74,23346506.0,9366.0,TRUTH OR DIE,TRUTH OR DIE,True,male,383
701,Kresley Cole,4428.0,4.23,6294553.0,27197.0,DEEP KISS OF WINTER,DEEP KISS OF WINTER,True,None,
702,Somaiya Daud,15179415.0,3.77,32768520.0,4799.0,MIRAGE,MIRAGE,True,,
703,Adriana Trigiani,9219.0,3.47,17888950.0,8832.0,THE SUPREME MACARONI COMPANY,THE SUPREME MACARONI COMPANY,True,female,352
704,Jake Tapper,233537.0,3.56,34329347.0,4524.0,THE HELLFIRE CLUB,THE HELLFIRE CLUB,True,male,352
705,Muriel Spark,13093.0,3.78,58677.0,2281.0,LOITERING WITH INTENT,LOITERING WITH INTENT,True,,
706,Lisa Kleypas,27847.0,4.2,1756703.0,30215.0,BLUE-EYED DEVIL,BLUE-EYED DEVIL,True,female,
707,Naomi Novik,8730.0,3.94,12069434.0,10296.0,CRUCIBLE OF GOLD,CRUCIBLE OF GOLD,True,female,325
708,Lisa Scottoline,20258.0,3.86,5355136.0,38109.0,LOOK AGAIN,LOOK AGAIN,True,female,
709,Jonathan Kellerman,43626.0,3.86,30211389.0,10439.0,HEARTBREAK HOTEL,HEARTBREAK HOTEL,True,male,
710,Linda  Robertson,2937372.0,3.62,6329335.0,4292.0,VICIOUS CIRCLE,VICIOUS CIRCLE,True,female,384
711,John Sandford,4610.0,4.41,36140457.0,13846.0,TWISTED PREY,TWISTED PREY,True,male,
712,George R.R. Martin,346732.0,4.32,10664113.0,483817.0,A DANCE WITH DRAGONS,A DANCE WITH DRAGONS,True,male,
713,Iris Johansen,32498.0,4.07,9789572.0,9077.0,BONNIE,BONNIE,True,None,
714,Kyung-Sook Shin,7773619.0,3.79,8574333.0,21447.0,PLEASE LOOK AFTER MOM,PLEASE LOOK AFTER MOM,True,female,237
715,Ann B. Ross,43948.0,3.94,15811583.0,1550.0,MISS JULIA STIRS UP TROUBLE,MISS JULIA STIRS UP TROUBLE,True,female,
716,Richard Paul Evans,46097.0,4.15,11110218.0,6659.0,LOST DECEMBER,LOST DECEMBER,True,male,346
717,Patricia Cornwell,1025097.0,3.69,6495359.0,19865.0,THE SCARPETTA FACTOR,THE SCARPETTA FACTOR,True,female,
718,Eileen Goudge,38423.0,3.89,762661.0,2583.0,GARDEN OF LIES,GARDEN OF LIES,True,,
719,Richard Castle,1953433.0,3.88,24376905.0,3427.0,DRIVING HEAT,DRIVING HEAT,True,male,329
720,Stephen R. Donaldson,12980.0,3.89,6237780.0,3652.0,AGAINST ALL THINGS ENDING,AGAINST ALL THINGS ENDING,True,male,596
721,Sarah Addison Allen,566874.0,3.84,8546358.0,53110.0,THE PEACH KEEPER,THE PEACH KEEPER,True,female,
722,Alan Bradley,1074866.0,4.16,41017660.0,23716.0,THE DEAD IN THEIR VAULTED ARCHES,THE DEAD IN THEIR VAULTED ARCHES,True,male,338
723,Chris Bohjalian,3509.0,3.6,18666006.0,15039.0,"CLOSE YOUR EYES, HOLD HANDS","CLOSE YOUR EYES, HOLD HANDS",True,male,
724,Jan Karon,40552.0,4.18,24875378.0,8904.0,COME RAIN OR COME SHINE,COME RAIN OR COME SHINE,True,female,287
725,Laurell K. Hamilton,9550.0,3.91,5215879.0,33160.0,SKIN TRADE,SKIN TRADE,True,female,486
726,Sarah Pinborough,457300.0,3.75,28965131.0,53053.0,BEHIND HER EYES,BEHIND HER EYES,True,female,307
727,P.C. Cast,17015.0,3.93,676924.0,220392.0,BETRAYED,BETRAYED,True,female,
728,James Patterson,3780.0,3.02,27384094.0,2805.0,"HUMANS, BOW DOWN","HUMANS, BOW DOWN",True,male,
729,James Patterson,3780.0,4.1,18170134.0,16894.0,NYPD RED 2,NYPD RED 2,True,male,392
730,Stuart Woods,3936.0,4.02,28815373.0,3463.0,SMOOTH OPERATOR,SMOOTH OPERATOR,True,male,352
731,Jacqueline Winspear,5023.0,4.16,30655763.0,8847.0,IN THIS GRAVE HOUR,IN THIS GRAVE HOUR,True,None,368
732,Miss Analysis,14019144.0,3.55,25808860.0,42.0,TOM CLANCY UNDER FIRE,TOM CLANCY UNDER FIRE,True,,
733,Lisa Jackson,13757.0,3.78,12351871.0,7169.0,YOU DON'T WANT TO KNOW,YOU DON'T WANT TO KNOW,True,female,416
734,Daniel Silva,29085.0,4.25,9975779.0,22062.0,PORTRAIT OF A SPY,PORTRAIT OF A SPY,True,None,
735,Julie Garwood,6251.0,3.94,9647908.0,14269.0,THE IDEAL MAN,THE IDEAL MAN,True,female,322
736,China Miéville,33918.0,3.87,9265453.0,23673.0,EMBASSYTOWN,EMBASSYTOWN,True,,
737,Laurell K. Hamilton,9550.0,3.81,27836564.0,8233.0,CRIMSON DEATH,CRIMSON DEATH,True,female,720
738,Saroo Brierley,7145066.0,4.12,18111281.0,42037.0,THE LONG WAY HOME,THE LONG WAY HOME,True,male,288
739,Danielle Steel,14255.0,3.81,14951193.0,5035.0,UNTIL THE END OF TIME,UNTIL THE END OF TIME,True,female,None
740,Jean M. Auel,861.0,3.29,8318666.0,25481.0,THE LAND OF PAINTED CAVES,THE LAND OF PAINTED CAVES,True,female,757
741,John le Carré,1411964.0,3.49,3281277.0,9815.0,A MOST WANTED MAN,A MOST WANTED MAN,True,male,
742,Justin Cronin,45315.0,4.04,6690798.0,163853.0,THE PASSAGE,THE PASSAGE,True,,
743,David Weber,10517.0,4.18,10750189.0,5117.0,HOW FIRM A FOUNDATION,HOW FIRM A FOUNDATION,True,male,607
744,Danielle Steel,14255.0,3.68,11163808.0,5253.0,HOTEL VENDOME,HOTEL VENDOME,True,female,10
745,Elizabeth Alexander,17148.0,4.04,22875479.0,6899.0,LIGHT OF THE WORLD,LIGHT OF THE WORLD,True,female,209
746,Raymond E. Feist,8588.0,3.93,4003436.0,7569.0,RIDES A DREAD LEGION,RIDES A DREAD LEGION,True,male,
747,M.C. Beaton,1657638.0,3.64,15791120.0,3578.0,DEATH OF YESTERDAY,DEATH OF YESTERDAY,True,female,272
748,Ben H. Winters,735413.0,3.84,32940838.0,19341.0,UNDERGROUND AIRLINES,UNDERGROUND AIRLINES,True,male,336
749,Debbie Macomber,11349.0,3.89,25739091.0,11667.0,A GIRL'S GUIDE TO MOVING ON,A GIRL'S GUIDE TO MOVING ON,True,female,
750,Lisa See,713.0,3.6,18404427.0,27164.0,CHINA DOLLS,CHINA DOLLS,True,female,376
751,Nora Roberts,625.0,3.93,2003767.0,22342.0,TRIBUTE,TRIBUTE,True,female,
752,William Shakespeare,947.0,3.94,1622.0,400032.0,INTO THE DREAMING,INTO THE DREAMING,True,male,
753,Patricia Cornwell,1025097.0,3.76,11057626.0,21098.0,RED MIST,RED MIST,True,female,512
754,Anne Tyler,457.0,3.39,27070127.0,25252.0,VINEGAR GIRL,VINEGAR GIRL,True,female,
755,Kim Harrison,17054.0,4.45,13241659.0,28134.0,EVER AFTER,EVER AFTER,True,female,
756,Newt Gingrich,5103.0,4.07,6460435.0,1456.0,TO TRY MEN'S SOULS,TO TRY MEN'S SOULS,True,,
757,Laura Childs,88924.0,3.77,15808747.0,2177.0,SWEET TEA REVENGE,SWEET TEA REVENGE,True,female,336
758,Fredrik Backman,6485178.0,4.29,33413128.0,119744.0,BEARTOWN,BEARTOWN,True,None,None
759,Susan Elizabeth Phillips,41313.0,3.89,3519956.0,16325.0,WHAT I DID FOR LOVE,WHAT I DID FOR LOVE,True,female,
760,James Lee Burke,7031.0,4.06,29326413.0,2928.0,THE JEALOUS KIND,THE JEALOUS KIND,True,male,
761,Terry McMillan,20704.0,3.95,17572866.0,4922.0,WHO ASKED YOU,WHO ASKED YOU,True,None,383
762,W.E.B. Griffin,1415338.0,4.14,10838337.0,1752.0,VICTORY AND HONOR,VICTORY AND HONOR,True,male,
763,M. Garzon,5010374.0,4.1,18520635.0,261.0,A BLAZE OF GLORY,A BLAZE OF GLORY,True,female,344
764,Kresley Cole,4428.0,4.08,6388558.0,49400.0,WARLORD,WARLORD,True,None,163
765,Lisa Scottoline,20258.0,3.84,34964864.0,19873.0,AFTER ANNA,AFTER ANNA,True,female,388
766,Jenny Han,151371.0,3.85,13406425.0,23149.0,BURN,BURN,True,female,356
767,Patricia Cornwell,1025097.0,3.58,7926242.0,18804.0,PORT MORTUARY,PORT MORTUARY,True,female,496
768,J.D. Robb,17065.0,4.4,31384635.0,16896.0,ECHOES IN DEATH,ECHOES IN DEATH,True,None,371
769,Dennis Lehane,10289.0,3.72,7853757.0,19042.0,MOONLIGHT MILE,MOONLIGHT MILE,True,None,
770,Miley Cyrus,990148.0,3.5,6263078.0,8550.0,MILES TO GO,MILES TO GO,True,female,263
771,C.C. Hunter,4154802.0,4.13,8705784.0,75838.0,BORN OF SHADOWS,BORN OF SHADOWS,True,,
772,Lisa Scottoline,20258.0,3.6,25773504.0,16945.0,MOST WANTED,MOST WANTED,True,female,
773,Richard Paul Evans,46097.0,3.89,29430782.0,4338.0,THE MISTLETOE SECRET,THE MISTLETOE SECRET,True,male,308
774,Mark Frost,34765.0,3.87,34802642.0,3778.0,TWIN PEAKS: THE FINAL DOSSIER,TWIN PEAKS: THE FINAL DOSSIER,True,male,
775,Edward Rutherfurd,16204.0,4.12,8258519.0,28356.0,NEW YORK,NEW YORK,True,None,862
776,Colleen Hoover,5430144.0,4.1,24378015.0,63098.0,NEVER NEVER,NEVER NEVER,True,,
777,Richard Paul Evans,46097.0,4.01,36373599.0,2363.0,THE FORGOTTEN ROAD,THE FORGOTTEN ROAD,True,male,
778,Clive Cussler,18411.0,4.01,41704.0,16858.0,SHOCK WAVE,SHOCK WAVE,True,male,537
779,Stephenie Meyer,941441.0,3.84,1656001.0,819307.0,THE HOST,THE HOST,True,female,620
780,Mystery,5638945.0,3.7,25376.0,2155.0,MYSTERY,MYSTERY,True,,
781,Stephen King,3389.0,4.3,10644930.0,356442.0,11/22/63,11/22/63,True,male,
782,Charlaine Harris,17061.0,2.92,17239876.0,13005.0,AFTER DEAD,AFTER DEAD,True,None,
783,Jennifer Lynn Barnes,164187.0,4.17,22929578.0,8303.0,THE FIX,THE FIX,True,None,372
784,Philippa Gregory,9987.0,3.64,2241558.0,38555.0,THE OTHER QUEEN,THE OTHER QUEEN,True,female,
785,Richelle Mead,137902.0,4.21,8709527.0,156022.0,BLOODLINE,BLOODLINE,True,female,
786,Alice Hoffman,3502.0,3.7,8389671.0,17673.0,THE RED GARDEN,THE RED GARDEN,True,None,
787,Christine Warren,41032.0,3.94,72544.0,6888.0,THE WOLF AT THE DOOR,THE WOLF AT THE DOOR,True,female,336
788,Joanne Fluke,18819.0,3.73,15811630.0,8041.0,RED VELVET CUPCAKE MURDER,RED VELVET CUPCAKE MURDER,True,female,325
789,Nora Roberts,625.0,3.99,16158519.0,31019.0,WHISKEY BEACH,WHISKEY BEACH,True,female,496
790,Martha Grimes,14150.0,3.8,18775347.0,2904.0,VERTIGO 42,VERTIGO 42,True,female,336
791,Heather Terrell,222429.0,3.58,8487365.0,4473.0,THE FALLEN ANGEL,THE FALLEN ANGEL,True,female,310
792,Ian Rankin,33031.0,4.09,29549648.0,8026.0,RATHER BE THE DEVIL,RATHER BE THE DEVIL,True,male,None
793,Graeme Simsion,1895943.0,3.58,23492671.0,84732.0,THE ROSIE EFFECT,THE ROSIE EFFECT,True,,
794,John Edward,72148.0,3.27,13538881.0,427.0,FALLEN MASTERS,FALLEN MASTERS,True,,
795,Laura Lippman,60459.0,3.62,18089975.0,14361.0,AFTER I'M GONE,AFTER I'M GONE,True,female,334
